id,user_id,admin_id,category,description,ip_address,browser,type,created_at,updated_at
992,,2,"Delete User Reason","Admin has delete report user reason",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:44:42.000000Z,2022-08-03T15:44:42.000000Z
991,,2,"Delete User Reason","Admin has added delete user reason",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:44:31.000000Z,2022-08-03T15:44:31.000000Z
990,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:41:36.000000Z,2022-08-03T15:41:36.000000Z
989,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:41:32.000000Z,2022-08-03T15:41:32.000000Z
988,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:40:58.000000Z,2022-08-03T15:40:58.000000Z
987,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:40:05.000000Z,2022-08-03T15:40:05.000000Z
986,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:39:04.000000Z,2022-08-03T15:39:04.000000Z
985,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:37:42.000000Z,2022-08-03T15:37:42.000000Z
984,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:34:22.000000Z,2022-08-03T15:34:22.000000Z
983,,2,"Export Csv","Admin has export Transactions statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T15:32:09.000000Z,2022-08-03T15:32:09.000000Z
